acronym	name	description	homepage	contact	released	administeredBy
VODANA-MIGRANTS	VODANA MIGRANTS VOCABULARY	migrants ontologies 		Ghardallou	2021-09-13T00:00:00.000+00:00	https://data.bioontology.org/users/Ghardallou
MINERAL	Material Mineral	Material Mineral 		Nitin	2016-01-08T00:00:00.000+00:00	https://data.bioontology.org/users/Sun+Pharma
CIO	Confidence Information Ontology	An ontology to capture confidence information about annotations	https://github.com/BgeeDB/confidence-information-ontology	Frederic Bastian	2015-03-10T00:00:00.000+00:00	https://data.bioontology.org/users/vendetti
CKDO	Chronic Kidney Disease Ontology	The Chronic Kidney Disease Ontology was developed to assist routine data studies and case identification of CKD in primary care.	http://clininf.eu	Nicholas Cole	2017-07-04T00:00:00.000+00:00	https://data.bioontology.org/users/harshanal
HDMPONTO	HierarchicalDMProcessOnto	A Hierarchical Data Mining Process Ontology, by combined OntoKDD and DMWF.		Man Tianxing	2020-12-18T00:00:00.000+00:00	https://data.bioontology.org/users/mantx626
ONSTR	Ontology for Newborn Screening Follow-up and Translational Research	Ontology for Newborn Screening Follow-up and Translational Research (ONSTR) is an application ontology covering the domain of newborn screening, follow-up and translational research pertaining to patients diagnosed with inheritable and congenital diseases mainly identified through newborn dried blood spot screening. \r\nONSTR is a central component of the project Newborn Screening Follow-up Data Integration Collaborative (NBSDC).\r\n\r\nONSTR uses the Basic Formal Ontology v2 (BFO2, v2012-07-20) as top-level ontology and extends the classes imported from OBO Foundry ontologies and candidate ontologies.\r\n\r\nFor latest release notes please see: \r\nhttp://onstr.googlecode.com/svn/tags/currentRelease/2013-05-02/\r\n\r\nNBSDC project page: https://nbsdc.org  (under construction).\r\n\r\n	http://code.google.com/p/onstr/	Rani Singh, Snezana Nikolic	2014-09-03T00:00:00.000+00:00	https://data.bioontology.org/users/ONSTR
HCODONONT	HGeneCodonOntology	This ontology contains the information of the frequency of usage and the relative frequency of usage of Human Gene Codons, to be used to the operations by The Project Of HIV Ontology.	http://blog.51.ca/u-345129/	Hanfei Bao	2016-09-02T00:00:00.000+00:00	https://data.bioontology.org/users/HanfeiBaoOnt
VODANACOVID	VODANA-COVIDTERMS	Ontology containing the controlled terms and semantic properties used in the COVID-19 generic template used within different facilities in VODANA 		Mariam Basajja	2022-01-24T00:00:00.000+00:00	https://data.bioontology.org/users/vodana;https://data.bioontology.org/users/MariamBasajja
TEST_A	TEST_A	This is an example ontology created by owlready2 python library		Felipe Leza	2021-04-21T00:00:00.000+00:00	https://data.bioontology.org/users/Databiology
MIRAPIE	MInimal Requirements for Automated Provenance Information Enrichment in biomedical research			Sascha Genehr	2025-05-22T00:00:00.000+00:00	https://data.bioontology.org/users/sgenehr
PCALION	Prostate Cancer Lifestyle Ontology	PCLiON:Prostate Cancer Lifestyle Ontology	http://pcaontology.net/PCaLifeStyleDefault.aspx	Chunjiang Yu	2020-10-28T00:00:00.000+00:00	https://data.bioontology.org/users/scu_shen
HCPCS	Healthcare Common Procedure Coding System	Healthcare Common Procedure Coding System	http://www.cms.gov/Medicare/Coding/MedHCPCSGenInfo/index.html	Cynthia Hake	2024-11-04T00:00:00.000+00:00	https://data.bioontology.org/users/admin
MONO	Monogenean Ontology	Monogenean Ontology		Dr Sarinder Kaur	2016-10-12T00:00:00.000+00:00	https://data.bioontology.org/users/MONO
MACROALGAETRAITS	Macroalgae Traits Thesaurus	The Macroalgae Traits Thesaurus contains several concepts on demographic and functional traits. It has been developed and published by LifeWatch Italy, the Italian node of the e-science European infrastructure for biodiversity and ecosystem research (LifeWatch ERIC). It reflects the agreement of a scientific expert community to fix semantic properties (e.g. label, definition) of approximately 100 traits.	http://thesauri.lifewatchitaly.eu/Macroalgae/index.php	Ilaria Rosati	2023-04-10T00:00:00.000+00:00	https://data.bioontology.org/users/yvanlebras
MOSAIC	The MOSAiC Ontology	Ontology to support Semantic Annotation of MOSAiC datasets housed in the Arctic Data Center (https://arcticdata.io).	https://github.com/DataONEorg/sem-prov-ontologies	Bryce Mecum	2021-09-10T00:00:00.000+00:00	https://data.bioontology.org/users/brycemecum;https://data.bioontology.org/users/schild
BCTEO	Bone and Cartilage Tissue Engineering Ontology	Ontology that describes the field of Tissue Engineering for what concerns bone and cartilage tissues.		Federica Viti / Alessandro Orro	2013-09-02T00:00:00.000-07:00	https://data.bioontology.org/users/fviti
PEO	Parasite Experiment Ontology	The Parasite Experiment Ontology (PEO) models provenance metadata associated with experiment protocols used in parasite research. The PEO extends the upper-level Provenir ontology (http://knoesis.wright.edu/provenir/provenir.owl) to represent parasite domain-specific provenance terms.\r\n\r\nThe PEO (v 1.0) includes Proteome, Microarray, Gene Knockout, and Strain Creation experiment terms along with other terms that are used in pathway.	http://wiki.knoesis.org/index.php/Parasite_Experiment_ontology	Priti Parikh	2011-06-20T00:00:00.000-07:00	https://data.bioontology.org/users/preets1511
TRIAGE	Nurse triage	An ontology showing the process domain of a triage nurse.		Philip Shields	2015-09-24T00:00:00.000+00:00	https://data.bioontology.org/users/shielphi
OBIWS	Bioinformatics Web Service Ontology	The Bioinformatics Web Services ontology (OBIws) is an ontology that extends the Ontology for Biomedical Investigations (OBI) to build an Ontology that supports consistent annotation of Bioinformatics Web services. 	http://code.google.com/p/obi-webservice/	jie zheng	2012-12-18T00:00:00.000-08:00	https://data.bioontology.org/users/jzheng
PHIPO	Pathogen Host Interaction Phenotype Ontology	PHIPO is a formal ontology of species-neutral phenotypes observed in pathogen-host interactions. PHIPO is being developed to support the comprehensive and detailed representation of phenotypes in PHI-base, the multi-species Pathogen-Host Interactions database available online at http://www.phi-base.org. PHIPO is pre-composed and logically defined., Ontology of species-neutral phenotypes observed in pathogen-host interactions.	https://github.com/PHI-base/phipo	Alayne Cuzick	2025-09-09T09:26:00.000-07:00	https://data.bioontology.org/users/vendetti
SOCPRES	Social Prescribing Ontology	The social prescribing ontology specifies concepts associated to social prescribing practices and the well being of social prescribing recipients. The ontology will be primary used to harmonise data related social prescribing processes across various parts of the health system.		Uy Hoang	2018-12-10T00:00:00.000+00:00	https://data.bioontology.org/users/harshanal
MCR_TX	MultiCaRe Taxonomy	The MultiCaRe Taxonomy contains the class structure used for medical image classification in the MultiCaRe dataset (v2).		Mauro Nievas Offidani	2024-11-18T00:00:00.000+00:00	https://data.bioontology.org/users/mauro.nievasoffidani
SP_ONTOLOGY	SmartPITeS Proyect Ontology for Complex Chronic Patients	The ontology developed for the SmartPITeS project contains decision rules established in clinical practice on which a software developed for clinical decision support for the pharmacological prescription and de-prescription of complex chronic patients is based. Specifically patients with atrial fibrillation under treatment with anticoagulants. 		Carlos Luis Parra Calderón	2023-03-27T00:00:00.000+00:00	https://data.bioontology.org/users/Estromvil
ONTOPARON_SOCIAL	Ontology of amyotrophic  lateral sclerosis, social module	Ontology of ALS (amyotrophic lateral sclerosis), social module developped by neurologist (ICM) and knowledge engineers (LIMICS). \r\nComplete version available at http://bioportal.bioontology.org/ontologies/ONTOPARON		Jean Charlet	2018-06-05T00:00:00.000+00:00	https://data.bioontology.org/users/Jean.Charlet
MCRO	Model Card Report Ontology	An ontology representing the structure of model card reports - reports that describe basic characteristics of machine learning models for the public and consumers.	https://github.com/UTHealth-Ontology/MCRO	Tuan Amith	2023-06-07T00:00:00.000+00:00	https://data.bioontology.org/users/vendetti
SITBAC	Situation-Based Access Control Ontology	Context-based healthcare access-control policies	http://mis.hevra.haifa.ac.il/~morpeleg/	Mor Peleg	2010-01-05T00:00:00.000-08:00	https://data.bioontology.org/users/MorPeleg
PAE	Plant Anatomy	REPLACED BY: Plant Ontology (PO). A controlled vocabulary of plant morphological and anatomical structures representing organs, tissues, cell types, and their biological relationships based on spatial and developmental organization. Note that this has been subsumed into the PO. This file is created by filtering plant_ontology_assert.obo to contain only terms from the plant anatomical entity branch of the PO. For more information, please see: http://palea.cgrb.oregonstate.edu/viewsvn/Poc/tags/live/	http://www.plantontology.org	Pankaj Jaiswal	2013-08-20T00:00:00.000+00:00	https://data.bioontology.org/users/cooperl
NDDO	Neurodegenerative Disease Data Ontology	Neurodegenerative Disease Data Ontology (NDDO) is an ontology for describing data on neurodegenerative disease patients.	http://www.ontodm.com/doku.php?id=nddo	Ilin Tolovski	2019-06-03T18:08:49.000-07:00	https://data.bioontology.org/users/ilin.tolovski
NDDF	National Drug Data File	FDB MedKnowledge, formerly National Drug Data File (NDDF) Plus Source Vocabulary\r\n\r\n<p>FDB MedKnowledge encompasses medications approved by the U.S. Food and Drug Administration, and information on commonly-used over-the-counter and alternative therapy agents such as herbals, nutraceuticals and dietary supplements.</p>	http://www.fdbhealth.com/fdb-medknowledge/	First DataBank Customer Support	2024-11-04T00:00:00.000+00:00	https://data.bioontology.org/users/admin
OPD-NAMBOBI	SELECTED OTHER PRIORITY DISEASES UNDER IDSR (INTEGRATED DISEASE SURVEILLANCE AND RESPONSES)	Objective:\t\tTo\treport cases of notifiable diseases, other diseases of\tpublic health importance.		Nambobi Mutwalibi	2021-06-26T00:00:00.000+00:00	https://data.bioontology.org/users/nambobi
SCDO	Sickle Cell Disease Ontology	The Sickle Cell Disease Ontology (SCDO) project is a collaboration between H3ABioNet (Pan African Bioinformatics Network) and SPAN (Sickle Cell Disease Pan African Network). The SCDO is currently under development and its purpose is to:\r\n\r\n1) establish community standardized SCD terms and descriptions,\r\n2) establish canonical and hierarchical representation of knowledge on SCD,\r\n3) links to other ontologies and bodies of work such as DO, PhenX, MeSH, ICD, NCI’s thesaurus, SNOMED and OMIM.\r\n\r\nOnce complete, we anticipate that the ontology will:\r\n\r\n1) be the most comprehensive collection of knowledge on SCD,\r\n2) facilitate exploration of new scientific questions and ideas,\r\n3) facilitate seamless data sharing and collaborations including meta-analysis within the SCD community,\r\n4) support the building of databasing and clinical informatics in SCD.	http://scdontology.h3abionet.org	Jade Hotchkiss	2021-05-06T18:30:09.000-07:00	https://data.bioontology.org/users/SCDO_BioPortal
LBO	Livestock Breed Ontology	A vocabulary for buffalo, cattle, chicken, goat, horse, pig, and sheep breeds., The Livestock Breed Ontology is a controlled vocabulary for buffalo		Cari Park	2025-10-09T00:00:00.000+00:00	https://data.bioontology.org/users/Vertebrate+Trait
LUNGMAP-MOUSE	Anatomic Ontology for Mouse Lung Maturation	Anatomic ontology for Mouse Lung Maturation (LungMAP Mouse Anatomy (LMMA)\r\n\r\nDeveloped by Susan E Wert, Gail H. Deutsch, Helen Pan, and the NHLBI Molecular Atlas of Lung Development Program Consortium Ontology Subcommittee	https://lungmap.net/breath-ontology-browser/	Helen Pan	2019-07-28T00:00:00.000+00:00	https://data.bioontology.org/users/hpan67
SCO	Study Cohort Ontology	The Study Cohort Ontology (SCO) is developed to model overall structure and patterns of cohort variables and control/intervention groups defined within the structured population descriptions (commonly referred to as Table1's or Cohort Summary Tables)of observational case studies and clinical trials. We maintain only domain agnostic and commonly occuring subject variables and interventions in SCO, and we have a suite of ontologies (Diseases, Medications, LabResults etc) to encode Diabetes related terminology. We have adopted a bottom-up approach to modeling and we have revised the structure of SCO upon investigation of a few research studies (11 to be precise) from the Pharmacological Interventions (Chapter 8) and Cardiovascular Complications (Chapter 9) of the American Diabetes Association (ADA)’s Standards of Medical Care 2018 CPG. We enable deep drive visualizations driven off queries to knowledge graphs modeled on SCO, to help assist physician visualize the similarity of a patient to a study group, at a quick glance. We welcome contributions and suggestions to extend SCO to represent cohort descriptions of publications targeted to other diseases, and we plan to release set of tools to make this process seamless.	https://tetherless-world.github.io/study-cohort-ontology/	Shruthi Chari	2019-04-18T00:00:00.000+00:00	https://data.bioontology.org/users/oshani;https://data.bioontology.org/users/shruthichari
BDO	Bone Dysplasia Ontology	The Bone Dysplasia ontology provides a comprehensive and formal representation of the different domain concepts involved in documenting the full complexity of the skeletal dysplasia domain. It captures and combines the genetic features that discriminate the bone dysplasias with the multitude of phenotypic characteristics manifested by patients and required to be taken into account in order to support the diagnosis process.		Tudor Groza	2012-02-08T00:00:00.000-08:00	https://data.bioontology.org/users/tudor.groza
CANCO	Cancer Chemoprevention Ontology	The Cancer Chemoprevention Ontology constitutes a vocabulary that is able to describe and semantically interconnect the different paradigms of the cancer chemoprevention domain.		Dimitris Zeginis	2013-05-01T00:00:00.000-07:00	https://data.bioontology.org/users/zeginis
INCENTIVE	INCENTIVE Community Controlled Vocabulary	DEMO vocabulary only! Controlled vocabularies allow an accurate and controlled approach in describing physical and digital assets (e.g., data). One of such controlled vocabulary is INCENTIVE Controlled Vocabulary. This controlled vocabulary is a result of Metadata 4 Machine (M4M) Workshop 18 and 22 (M4M.18 and M4M.22) provided to the INCENTIVE community.\r\n\r\nsheet2rdf and OntoStack are used to build and serve INCENTIVE Controlled Vocabulary, while PURL is used to persist identifiers for the vocabulary terms.	https://raw.githubusercontent.com/gofair-foundation/vocabs_archive/main/M4M22.ttl	Barbara Magagna	2023-11-23T00:00:00.000+00:00	https://data.bioontology.org/users/niva;https://data.bioontology.org/users/mabablue
ONTOPSYCHIA	OntoPsychia, social module	Ontology of social and environmental determinants for psychiatry		Jean Charlet	2018-01-30T00:00:00.000+00:00	https://data.bioontology.org/users/Jean.Charlet
ML_MCR_TX	MultiCaRe Taxonomy (ML Labels)	This is a reduced version of the MultiCaRe Taxonomy (MCR_TX), the class structure used for medical image classification in the MultiCaRe dataset. This reduced version includes only the labels used in Machine Learning (ML) model training.		Mauro Nievas Offidani	2024-12-13T00:00:00.000+00:00	https://data.bioontology.org/users/mauro.nievasoffidani
DINTO	The Drug-Drug Interactions Ontology	DINTO is an OWL ontology that systematically organizes all drug-drug interaction (DDI) related information.\r\n\r\nDrug-drug interactions (DDIs) form a significant risk group for adverse effects associated with pharmaceutical treatment. These interactions are often reported in the literature, however, they are sparsely represented in machine-readable resources, such as online databases, thesauri or ontologies. DINTO is an ontology that describes and categorizes DDIs and all the possible mechanisms that can lead to them (including both pharmacodynamic and pharmacokinetic DDI mechanisms).	http://labda.inf.uc3m.es/doku.php?id=es:labda_dinto	Maria Herrero	2015-08-26T00:00:00.000+00:00	https://data.bioontology.org/users/mhzazo
NIHSS	National Institutes of Health Stroke Scale Ontology	Domain ontology for National Institutes of Health Stroke Scale (NIHSS). Scores range from 0-42. Patients are given more points for greater deficiencies. A score of 0 indicates that the test is normal.		Petr Vcelak	2024-07-17T18:10:25.000-07:00	https://data.bioontology.org/users/vcelak
OPL	Ontology for Parasite LifeCycle	The Ontology for Parasite LifeCycle (OPL) models the life cycle stage details of various parasites, including Trypanosoma sp., Leishmania major, and Plasmodium sp., etc. In addition to life cycle stages, the ontology also models necessary contextual details, such as host information, vector information, and anatomical location. OPL is based on the Basic Formal Ontology (BFO) and follows the rules set by the OBO Foundry consortium.	http://knoesis.wright.edu/trykipedia/parasitelifecycle	Priti Parikh	2023-08-31T18:14:00.000-07:00	https://data.bioontology.org/users/preets1511
APO	Ascomycete Phenotype Ontology	A structured controlled vocabulary for the phenotypes of Ascomycete fungi, A structured controlled vocabulary for the phenotypes of Ascomycete fungi.	http://www.yeastgenome.org/	Saccharomyces Genome Database	2025-08-12T18:00:16.000-07:00	https://data.bioontology.org/users/Saccharomyces+Genome+Database
MPATH	Mouse Pathology Ontology	A structured controlled vocabulary of mutant and transgenic mouse pathological lesions and processes	http://www.pathbase.net	Mouse_pathology Administrators	2023-09-30T18:17:48.000-07:00	https://data.bioontology.org/users/PaulNSchofield;https://data.bioontology.org/users/PS%40mole.bio.cam.ac.uk
MMUSDV	Mouse Developmental Stages	Life cycle stages for Mus Musculus. MmusDv was developed by the Bgee group with assistance from the core Uberon developers and the Mouse anatomy ontology developers. Currently it includes both embryonic stages and adult stages.	https://github.com/obophenotype/developmental-stage-ontologies/wiki/MmusDv	Chris Mungall	2018-09-12T00:00:00.000+00:00	https://data.bioontology.org/users/vendetti
VTO	Vertebrate Taxonomy Ontology	The Vertebrate Taxonomy Ontology includes both extinct and extant vertebrates, aiming to provide one comprehensive hierarchy. The hierarchy backbone for extant taxa is based on the NCBI taxonomy. Since the NCBI taxonomy only includes species associated with archived genetic data, to complement this, we also incorporate taxonomic information across the vertebrates from the Paleobiology Database (PaleoDB). The Teleost Taxonomy Ontology (TTO) and AmphibiaWeb (AWeb) are incorporated to provide a more authoritative hierarchy and a richer set of names for specific taxonomic groups.	http://code.google.com/p/vertebrate-taxonomy-ontology/	James Balhoff	2020-11-13T18:16:20.000-08:00	https://data.bioontology.org/users/balhoff
ROS	Radiation Oncology Structures Ontology	This ontology describes commonly contoured (anatomical and treatment planning) structures for radiation treatment planning. 22000 structures labels (created over a 16 years period in our radiation department) were extracted, classified and categorized to produce this ontology. Lymph nodes delineation international guidelines are provided.\r\n\r\nThis ontology was created to ease and standardize the integration of radiation oncology data into clinical datawarehouses for multicentric studies. The high granularity of this ontology will allow precise dosimetric evaluations.	http://www.twitter.com/jebibault	Jean-Emmanuel Bibault	2017-07-27T00:00:00.000+00:00	https://data.bioontology.org/users/jebibault
ALLERGYDETECTOR	Allergy Detector II	Allergy Detection Ontology.		Nelson Quevedo	2015-05-01T00:00:00.000+00:00	https://data.bioontology.org/users/nquevedo
MHCRO	MHC Restriction Ontology	The MHC Restriction Ontology (MRO) is an application ontology capturing how Major Histocompatibility Complex (MHC) restriction is defined in experiments, spanning exact protein complexes, individual protein chains, serotypes, haplotypes and mutant molecules, as well as evidence for MHC restrictions., The MHC Restriction Ontology is an application ontology capturing how Major Histocompatibility Complex (MHC) restriction is defined in experiments	https://github.com/IEDB/MRO	Bjoern Peters	2025-09-25T18:07:07.000-07:00	https://data.bioontology.org/users/vendetti
GENO	Genotype Ontology	An integrated ontology for representing the genetic variations described in genotypes, and their causal relationships to phenotype and diseases.	https://github.com/monarch-initiative/GENO-ontology/	Matthew Brush	2025-09-09T09:08:17.000-07:00	https://data.bioontology.org/users/vendetti
DCO	Dispedia Core Ontology	Dispedia Core Ontology is a schema for information brokering and knowledge management in the complex field of rare diseases. On the one hand, the Dispedia schema uses semantic technologies to describe patients affected by rare diseases, and on the other hand, to record expertise concerning these particular diseases in machine-processable form. In addition to the differentiated attribution of facts to the individual need for information, Dispedia enables information brokering which adjusts to the type of recipient, its character as well as its personal attitude. The schema was initially geared to an exemplified disease, Amyotrophe Lateralsclerose (ALS).	http://www.dispedia.de	Romy Elze	2015-03-05T10:11:07.000-08:00	https://data.bioontology.org/users/seeh
NHSQI2009	NHS Quality Indicators					https://data.bioontology.org/users/Pam+Lough
HORD	Holistic Ontology of Rare Diseases	This ontology describes the bio-psico-social state of a person of rare diseses in a holistic way. It considers several contents such as disease, psychological, social, environmental state of the person.	https://sites.google.com/site/laiasubirats	Laia Subirats	2019-08-29T00:00:00.000+00:00	https://data.bioontology.org/users/lsubirats
HASCO	Human-Aware Science Ontology	The Human-Aware Science Ontology (HAScO) integrates a collection of well-established science-related ontologies, and aims to address issues related to data annotation for large data ecosystem, where data can come from diverse data sources including sensors, lab results, and questionnaires. The HAScO has been used to annotate data collections to facilitate data exploration and analysis for numerous scientific projects. Data files produced by scientific studies are processed to identify and annotate the objects (a gene, for instance) with the appropriate ontological terms. 	http://www.hadatac.org/hasco-ontology/	Paulo Pinheiro	2024-09-01T18:06:50.000-07:00	https://data.bioontology.org/users/pp3223%40gmail.com
MIAPA	MIAPA Ontology	An application ontology to formalize annotation of phylogenetic data according to the emerging Minimum Information About a Phylogenetic Analysis (MIAPA) metadata reporting standard.	http://www.evoio.org/wiki/MIAPA	Hilmar Lapp	2017-05-08T00:00:00.000+00:00	https://data.bioontology.org/users/vendetti
ENVTHES	Thesaurus for long-term ecological research, monitoring, experiments	EnvThes		Barbara Magagna	2025-06-22T18:04:15.000-07:00	https://data.bioontology.org/users/mabablue
GEOSPARQL	GeoSPARQL	The OGC GeoSPARQL standard supports representing and querying geospatial data on the Semantic Web. GeoSPARQL defines a vocabulary for representing geospatial data in RDF, and it defines an extension to the SPARQL query language for processing geospatial data. In addition, GeoSPARQL is designed to accommodate systems based on qualitative spatial reasoning and systems based on quantitative spatial computations.		Kim Durante	2017-12-09T00:00:00.000+00:00	https://data.bioontology.org/users/kdurante
MVAONT	Mosquito Vector Association Ontology with Biocontrol Agents	MVAont is about the description of Indian Mosquito Vectors and their Associations with Biocontrol Agents		G.Jeyakodi, Dr.P. Shanthi Bala, Department of Computer Science, Pondicherry University, Puducherry, India	2022-09-05T00:00:00.000+00:00	https://data.bioontology.org/users/Jeyakodi_PU
ROLEO	Role Ontology	The Role Ontology (RoleO) is an ontology in the domain of role classification. RoleO aims to standardize role classification and support computer-assisted reasoning.  RoleO development follows the OBO Foundry principles. RoleO has represented  all the occupations defined in the Standard Occupational Classification (SOC) System from the USA Bureau of Labor Statistics. 	https://github.com/roleontology/roleo	Oliver He	2018-03-24T18:13:32.000-07:00	https://data.bioontology.org/users/yongqunh%40med.umich.edu
LEGALAPATEST2	apalegal	Legal cluster for APA ontology		alexander garcia	2014-12-21T00:00:00.000+00:00	https://data.bioontology.org/users/APA;https://data.bioontology.org/users/alexgarciac
PICO	Pathogen-related Informed Consent Ontology	PICO is an application ontology designed for the standardization of pathogen-related informed consent data and taxonomic logic relationship classification. The current development priority focuses on constructing its morbidity data representation framework in a manner that ensures consistent structural mapping with medical questionnaire architectures, thereby enabling interoperable data schema across epidemiological research systems.	https://github.com/PICO-ontology/PICO	Jian Guan (关健)	2025-03-23T00:00:00.000+00:00	https://data.bioontology.org/users/Hardy+Xie
MODSCI	Modern Science Ontology	ModSci is a reference ontology for modelling different types of modern sciences and related entities, such as scientific discoveries, renowned scientists, instruments, phenomena ... etc.	https://saidfathalla.github.io/Science-knowledge-graph-ontologies/doc/ModSci_doc/index-en.html	SaidFathalla	2019-12-01T00:00:00.000+00:00	https://data.bioontology.org/users/fathalla
OVAE	Ontology of Vaccine Adverse Events	The Ontology of Vaccine Adverse Events (OVAE) is a biomedical ontology in the area of vaccine adverse events. OVAE is an extension of the Ontology of Adverse Events (OAE) and the Vaccine Ontology (VO). OVAE is aimed to represent and analyze various vaccine-specific adverse events. 	http://www.violinet.org/ovae	Oliver He	2016-05-14T18:11:28.000-07:00	https://data.bioontology.org/users/yongqunh%40med.umich.edu
AGROCYMAC	Control y Monitoreo de afecciones en los cultivos	Agrocymac es una ontología creada para estructurar información sobre el control y monitoreo de plagas, malezas y enfermedades que afectan específicamente a los cultivos de Arroz, Café y Cacao.		Gema Herrera 	2019-02-17T00:00:00.000+00:00	https://data.bioontology.org/users/yalilabj
GECCO	COVID-19 Common Datamodel	To ensure the interoperability and compatibility among COVID-19 datasets, we present here a Common Data\r\nModel (CDM) which has been built from 11 different COVID-19 datasets from various geographical locations.\r\nThe current version of the CDM holds 4639 data variables related to COVID-19 such as basic patient\r\ninformation (age, biological sex, and diagnosis) as well as disease-specific data variables, for example, Anosmia\r\nand Dispnea. Each of the data variables in the data model is associated with specific data types, variable\r\nmappings, value ranges, data units, and data encodings that could be used for standardizing any dataset.		Alpha Tom Kodamullil	2022-08-19T00:00:00.000+00:00	https://data.bioontology.org/users/philipp_wegner
LSFC	LSFC					https://data.bioontology.org/users/esmaeil.nourani
LSFO	Lifestyle Factor Ontology	In this ontology, we defined nine distinct categories that encompass various aspects of lifestyle factors (LSFs), creating a unified Lifestyle Factors Ontology (LSFO) across these categories.\r\n\r\nWithin the context of lifestyle, we have identified nine categories that can collectively describe all LSFs, namely:\r\n\t1-Nutrition, a category that covers different branches such as dietary habits, food groups, food processing and preparation, macronutrients, and micronutrients, among others.\r\n\t2-Socioeconomic factors, which includes social and economic conditions such as income, wealth, education and socioeconomic status.\r\n\t3-Environmental exposures, includes exposure to various environmental factors, such as air pollution, water quality, and workplace hazards, that can impact an individual’s health.\r\n\t4-Substance use, covers concepts such as smoking, as well as illicit drug use.\r\n\t5-Physical activities, includes regular exercise and physically demanding activities like leisure time, occupational, and household physical activities.\r\n\t6-Non-physical leisure time activities, describes any activity an individual might engage in during their free time that is not a physical activity.\r\n\t7-Personal care products and cosmetic procedures, covers activities related to hygiene, use of cosmetic and cleaning products as well as invasive procedures that people undergo to improve their appearance, such as cosmetic surgery.\r\n\t8-Sleep, covers sleep quality, stages, and habits.\r\n\t9-Mental health practices, includes the behaviors and habits related to maintaining good mental health and emotional well-being such as meditation, and psychotherapy.\r\n\r\nThis ontology is released under the Creative Commons Attribution 4.0 International (CC BY 4.0) license.\r\n		Lars Juhl Jensen	2024-09-08T00:00:00.000+00:00	https://data.bioontology.org/users/esmaeil.nourani
HMISLAB0115	HMIS LAB 011 5	Assignment for group 5 of DSIP		Leendert Van der Plas	2021-11-12T00:00:00.000+00:00	https://data.bioontology.org/users/LeendertP
PINO	Pregnancy Information Needs Ontology	An ontology about pregnancy information needs across all stages of pregnancy	https://github.com/henryhezhe2003/Pregnancy_Infomation_Needs_Ontology	Zhe He	2022-02-09T00:00:00.000+00:00	https://data.bioontology.org/users/zhehe
FOBI	FOBI (Food-Biomarker Ontology)	FOBI (Food-Biomarker Ontology) is an ontology to represent food intake data and associate it with metabolomic data.	https://github.com/pcastellanoescuder/FoodBiomarkerOntology	Pol Castellano Escuder	2022-05-03T18:04:43.000-07:00	https://data.bioontology.org/users/vendetti
MIO	Myocardial Infarction Ontology	The myocardial infarction ontology (MIO) is a disease-specific ontology that characterizes the knowledge field of myocardial infarction.		Chaoying Zhan	2024-08-18T00:00:00.000+00:00	https://data.bioontology.org/users/LittleNine
HSCLO38	Homo sapiens Chromosomal Location Ontology for GRCh38	HSCLO38's purpose is to simplify the integration of genomic experimental data at different resolution scales within biomedical knowledge graphs. It defines chromosomal locations within the GRCh38 release for chr 1-22, X,Y and M.  HSCLO38 provides 3,431,153 classes at five distinct resolution levels: whole chromosome, 1 megabase pair (Mbp), 100 kilobase pairs (kbp), 10 kbp, and 1 kbp.  Each node within these class levels is interconnected to its scale parent and to the immediate neighbors on either side to support mapping and association between genomic datasets and features. For example, the 1kbp element HSCLO38:chr1.20517001-20518000 is_a connected to its "scale parent" HSCLO38:chr1.20510001-20520000 as well as to the 5' neighbor HSCLO38:chr1.20516001-20517000 and 3' neighbor HSCLO38:chr1.20518001-20519000.  We provide knowledge-graph-ready files for HSCLO38 on the project home page.		Deanne Taylor	2024-02-12T00:00:00.000+00:00	https://data.bioontology.org/users/dtaylor
LCGFT	Library of Congress Genre/Form Thesaurus for Library and Archival Materials	The Library of Congress Genre/Form Terms for Library and Archival Materials (LCGFT) is a thesaurus that describes what a work is versus what it is about. For instance, the subject heading Horror films, with appropriate subdivisions, would be assigned to a book about horror films. A cataloger assigning headings to the movie The Texas Chainsaw Massacre would also use Horror films, but it would be a genre/form term since the movie is a horror film, not a movie about horror films. The thesaurus combines both genres and forms. Form is defined as a characteristic of works with a particular format and/or purpose. A "short" is a particular form, for example, as is "animation." Genre refers to categories of works that are characterized by similar plots, themes, settings, situations, and characters. Examples of genres are westerns and thrillers. In the term Horror films"horror" is the genre and "films" is the form.	http://id.loc.gov/authorities/genreForms.html	Nancy Lorimer	2017-09-05T00:00:00.000+00:00	https://data.bioontology.org/users/mdorf;https://data.bioontology.org/users/nlorimer
NOMEN	NOMEN - A nomenclatural ontology for biological names	NOMEN is a nomenclatural ontology for biological names (not concepts). It encodes the goverened rules of nomenclature.	https://github.com/SpeciesFileGroup/nomen	Matt Yoder	2025-10-13T18:09:03.000-07:00	https://data.bioontology.org/users/vendetti
INFRA-EN	Infrastructure	Ontologie des infrastructures de transports (aéroport, gare..)		Patrick Chassany	2021-04-07T00:00:00.000+00:00	https://data.bioontology.org/users/patrickchassany
