ontologyId	id	title	description	homepage	version	numberOfTerms	numberOfProperties	numberOfIndividuals	status
dcterms	dcterms					22	55	0	LOADED
dc	dc					0	15	0	LOADED
schemaorg_http	schemaorg_http					924	1518	0	LOADED
schemaorg_https	schemaorg_https					924	1518	0	LOADED
phi	phi	PHI-base Ontology	Pathogen-Host Interaction database Ontology used by Ensembl			42	8	0	LOADED
msio	msio	Metabolomics Standards Initiative Ontology (MSIO)	an application ontology for supporting description and annotation of mass-spectrometry and nmr-spectroscopy based metabolomics experiments and fluxomics studies.	https://github.com/MSI-Metabolomics-Standards-Initiative/MSIO	1.0.1	1294	133	33	LOADED
ensemblglossary	ensemblglossary	Ensembl Glossary	The Ensembl glossary lists the terms, data types and file types that are used in Ensembl and describes how they are used.	http://ensembl.org/glossary		377	5	0	LOADED
efo	efo	Experimental Factor Ontology	The Experimental Factor Ontology (EFO) provides a systematic description of many experimental variables available in EBI databases, and for external projects such as the NHGRI GWAS catalogue. It combines parts of several biological ontologies, such as anatomy, disease and chemical compounds. The scope of EFO is to support the annotation, analysis and visualization of data handled by many groups at the EBI and as the core ontology for OpenTargets.org	http://www.ebi.ac.uk/efo	3.83.0	89389	301	19	LOADED
ordo	ordo	Orphanet Rare Disease Ontology	The Orphanet Rare Disease ontology (ORDO) is jointly developed by Orphanet and the EBI to provide a structured vocabulary for rare diseases capturing relationships between diseases, genes and other relevant features which will form a useful resource for the computational analysis of rare diseases. It derived from the Orphanet database (www.orpha.net ) , a multilingual database dedicated to rare diseases populated from literature and validated by international experts. It integrates a nosology (classification of rare diseases), relationships (gene-disease relations, epiemological data) and connections with other terminologies (MeSH, UMLS, MedDRA),databases (OMIM, UniProtKB, HGNC, ensembl, Reactome, IUPHAR, Geantlas) or classifications (ICD10).		4.7	15788	35	0	LOADED
teddy	teddy	Terminology for Description of Dynamics	TEDDY is an ontology for dynamical behaviours, observable dynamical phenomena, and control elements of bio-models and biological systems in Systems and Synthetic Biology.		rel-2014-04-24	167	18	0	LOADED
edam	edam	EDAM - The ontology of data analysis and management	EDAM is a domain ontology of data analysis and data management in bio- and other sciences, and science-based applications. It comprises concepts related to analysis, modelling, optimisation, and data life cycle. Targetting usability by diverse users, the structure of EDAM is relatively simple, divided into 4 main sections: Topic, Operation, Data (incl. Identifier), and Format.	http://edamontology.org	1.25-20240924T0027Z-unstable(1.26)	3511	75	0	LOADED
cco	cco	Cell Cycle Ontology	The Cell Cycle Ontology extends existing ontologies for cell cycle knowledge building a resource that integrates and manages knowledge about the cell cycle components and regulatory aspects.	http://www.semantic-systems-biology.org/apo		277685	12	0	LOADED
rexo	rexo	Regulation of Gene Expression Ontology	Regulation of Gene Expression	http://www.semantic-systems-biology.org/apo		158239	12	0	LOADED
reto	reto	Regulation of Transcription Ontology	Regulation of Transcription	http://www.semantic-systems-biology.org/apo		147738	12	0	LOADED
gexo	gexo	Gene Expression Ontology	Gene Expression Ontology	http://www.semantic-systems-biology.org/apo		166254	12	0	LOADED
cmpo	cmpo	Cellular Microscopy Phenotype Ontology	CMPO is a species neutral ontology for describing general phenotypic observations relating to the whole cell, cellular components, cellular processes and cell populations.	http://www.ebi.ac.uk/cmpo		1058	76	0	LOADED
enm	enm	eNanoMapper ontology	The eNanoMapper project (https://www.enanomapper.net/), NanoCommons project (https://www.nanocommons.eu/) and ACEnano project (http://acenano-project.eu/) are creating a pan-European computational infrastructure for toxicological data management for ENMs, based on semantic web standards and ontologies. This ontology is an application ontology targeting the full domain of nanomaterial safety assessment. It re-uses several other ontologies including the NPO, CHEMINF, ChEBI, and ENVO.	http://www.enanomapper.net/	10.0	25918	2384	834	LOADED
probonto	probonto	Probability Distribution Ontology	ProbOnto, is an ontology-based knowledge base of probability distributions, featuring more than eighty uni- and multivariate distributions with their defining functions, characteristics, relationships and reparameterisation formulas.	http://probonto.org	2.5.0	39	44	0	LOADED
pride	pride	Proteomics Identification Database Ontology	Proteomics Identification Database Ontology, terms describing proteomics data and experimental metadata	https://github.com/PRIDE-Utilities/pride-ontology		93424	493	150	LOADED
bao	bao	BioAssay Ontology	The BioAssay Ontology (BAO) describes biological screening assays and their results including high-throughput screening (HTS) data for the purpose of categorizing assays and data analysis. BAO is an extensible, knowledge-based, highly expressive (currently SHOIQ(D)) description of biological assays making use of descriptive logic based features of the Web Ontology Language (OWL). BAO currently has over 700 classes and also makes use of several other ontologies. It describes several concepts related to biological screening, including Perturbagen, Format, Meta Target, Design, Detection Technology, and Endpoint. Perturbagens are perturbing agents that are screened in an assay; they are mostly small molecules. Assay Meta Target describes what is known about the biological system and / or its components interrogated in the assay (and influenced by the Perturbagen). Meta target can be directly described as a molecular entity (e.g. a purified protein or a protein complex), or indirectly by a biological process or event (e.g. phosphorylation). Format describes the biological or chemical features common to each test condition in the assay and includes biochemical, cell-based, organism-based, and variations thereof. The assay Design describes the assay methodology and implementation of how the perturbation of the biological system is translated into a detectable signal. Detection Technology relates to the physical method and technical details to detect and record a signal. Endpoints are the final HTS results as they are usually published (such as IC50, percent inhibition, etc). BAO has been designed to accommodate multiplexed assays. All main BAO components include multiple levels of sub-categories and specification classes, which are linked via object property relationships forming an expressive knowledge-based representation.	http://bioassayontology.org	2.8.18a	8937	464	1	LOADED
sio	sio	Semanticscience Integrated Ontology	The Semanticscience Integrated Ontology (SIO) provides a simple, integrated ontology of types and relations for rich description of objects, processes and their attributes.	https://github.com/micheldumontier/semanticscience	1.59	1584	238	0	LOADED
unimod	unimod	Unimod protein modification database for mass spectrometry	Unimod is a community supported, comprehensive database of protein modifications for mass spectrometry applications. That is, accurate and verifiable values, derived from elemental compositions, for the mass differences introduced by all types of natural and artificial modifications. Other important information includes any mass change, (neutral loss), that occurs during MS/MS analysis, an d site specificity, (which residues are susceptible to modification and any constraints on the position of the modification within the protein or peptide).	http://www.unimod.org/		1523	11	0	LOADED
nmrcv	nmrcv	nuclear magnetic resonance CV	This artefact is an MSI-approved controlled vocabulary primarily developed under COSMOS EU and PhenoMeNal EU governance. The nmrCV is supporting the nmrML XML format with standardized terms. nmrML is a vendor agnostic open access NMR raw data standard. Its primaly role is analogous to the mzCV for the PSI-approved mzML XML format. It uses BFO2.0 as its Top level. This CV was derived from two predecessors (The NMR CV from the David Wishart Group, developed by Joseph Cruz) and the MSI nmr CV developed by Daniel Schober at the EBI.  This simple taxonomy of terms (no DL semantics used) serves the nuclear magnetic resonance markup language (nmrML) with meaningful descriptors to amend the nmrML xml file with CV terms. Metabolomics scientists are encouraged to use this CV to annotrate their raw and experimental context data, i.e. within nmrML. The approach to have an exchange syntax mixed of an xsd and CV stems from the PSI mzML effort. The reason to branch out from an xsd into a CV is, that in areas where the terminology is likely to change faster than the nmrML xsd could be updated and aligned, an externally and decentrallised maintained CV can accompensate for such dynamics in a more flexible way. A second reason for this set-up is that semantic validity of CV terms used in an nmrML XML instance (allowed CV terms, position/relation to each other, cardinality) can be validated by rule-based proprietary validators:  By means of cardinality specifications and XPath expressions defined in an XML mapping file (an instances of the CvMappingRules.xsd ), one can define what ontology terms are allowed in a specific location of the data model.	http://nmrml.org/cv/	1.1.0	792	46	0	LOADED
afo	afo	Allotrope Merged Ontology Suite	Allotrope Merged Ontology Suite		REC/2025/06	3435	430	50	LOADED
srao	srao	FAIRsharing Subject Ontology (SRAO)	The FAIRsharing Subject Ontology (SRAO) is an application ontology for the categorization of research disciplines across all research domains, from the humanities to the natural sciences. It utilizes multiple external vocabularies.	https://github.com/FAIRsharing/subject-ontology	2025-06-01	445	44	0	LOADED
hcao	hcao	Human Cell Atlas Ontology	Application ontology for human cell types, anatomy and development stages for the Human Cell Atlas.			22606	711	31	LOADED
idocovid19	idocovid19	The COVID-19 Infectious Disease Ontology	The COVID-19 Infectious Disease Ontology (IDO-COVID-19) is an extension of the Infectious Disease Ontology (IDO) and the Virus Infectious Disease Ontology (VIDO). IDO-COVID-19 follows OBO Foundry guidelines, employs the Basic Formal Ontology as its starting point, and covers epidemiology, classification, pathogenesis, and treatment of terms used to represent infection by the SARS-CoV-2 virus strain, and the associated COVID-19 disease.	https://github.com/infectious-disease-ontology-extensions/ido-covid-19		485	110	23	LOADED
bcio	bcio	The Behaviour Change Intervention Ontology	The Behaviour Change Intervention Ontology is an ontology for all aspects of human behaviour change interventions and their evaluation.	https://www.humanbehaviourchange.org/		2524	102	0	LOADED
covoc	covoc	CoVoc Coronavirus Vocabulary	The COVID-19 Vocabulary (COVoc) is an ontology containing terms related to the research of the COVID-19 pandemic. This includes host organisms, pathogenicity, gene and gene products, barrier gestures, treatments and more.	https://github.com/EBISPOT/covoc	2022-10-26	563	652	0	LOADED
om	om	Ontology of units of Measure (OM)	The Ontology of units of Measure (OM) 2.0 models concepts and relations important to scientific research. It has a strong focus on units, quantities, measures, and dimensions.	https://github.com/HajoRijgersberg/OM	2.0.59	2307	70	6	LOADED
reproduceme	reproduceme	REPRODUCE-ME Ontology	The REPRODUCE-ME ontology is an extension of the PROV-O and the P-Plan ontology to describe a complete path of a scientific experiment. It expresses the REPRODUCE-ME Data Model using the OWL2 Web Ontology Language (OWL2). It provides a set of classes and properties to represent a scientific experiment including its computational and non-computational steps to track the provenance of results. It describes a complete path of a scientific experiment considering the use-case of biological imaging and microscopy experiments, computational experiments, including Jupyter notebooks and scripts. It describes an experiment and its data, agents, activities, plans, steps, variables, instruments, materials, and settings required for its reproducibility.	https://w3id.org/reproduceme/research	1.1	389	209	255	LOADED
prov	prov	Provenance Ontology (PROV-O)		https://www.w3.org/TR/prov-o/		31	72	1	LOADED
orth	orth	Orthology Ontology	The need of a common ontology for describing orthology information in biological research communities has led to the creation of the Orthology Ontology (ORTH). ORTH ontology is designed to describe sequence homology data available in multiple orthology databases on the Web (e.g.: OMA, OrthoDB, HieranoiDB, and etc.). By sequence homology data, we mostly mean gene region, gene and protein centric orthology, paralogy, and xenology information. Depending on the database, the homology information is structured in different ways. ORTH ontology accommodates these disparate data structures namely Hierarchical Orthologous Group (HOG), cluster of homologous sequences and homologous-pairwise relations between sequences. In addition to the specific ORTH terms, this specification includes terms of the imported ontologies (e.g. Semanticscience Integrated Ontology, SIO) which are pertinents to represent the information from various orthology databases in a homogeneous way.	http://purl.org/net/orth	2.0	34	60	6	LOADED
snomed	snomed	SNOMED CT (International Edition)	SNOMED CT or SNOMED Clinical Terms is a systematically organized computer processable collection of medical terms providing codes, terms, synonyms and definitions used in clinical documentation and reporting.\n			376452	140	0	LOADED
shareloc	shareloc	ShareLoc	ShareLoc defines terms to annotate data sets from single molecule localization microscopy, including but not limited to: imaging technique, biological structures or molecules of interest, cell types, experimental condition, labeling method, fixation protocol, etc.			95	0	0	LOADED
ccf	ccf	Human Reference Atlas Common Coordinate Framework Ontology	The Common Coordinate Framework (CCF) Ontology is an application ontology built to support the development of the Human Reference Atlas (HRA).  It unifies vocabulary for HRA construction and usage—making it possible to ingest external data sources; supporting uniform tissue sample registration that includes the spatial positioning and semantic annotations within 3D reference organs; and supporting user-formulated cross-domain queries over tissue donor properties, anatomical structures, cell types, biomarkers, and 3D space. The CCF Ontology consists of three major ontologies. The Biological Structure Ontology records anatomical structures, cell types, and biomarkers (ASCT+B) and the relationships between them.  The ASCT+B tables are authored by human experts using templated Google Sheets. The biomarkers, cell types, and anatomical structures are mapped to existing ontologies (Uberon/FMA, CL, HGNC) whenever possible.  All relationships between anatomical structures and from cell types to anatomical structures are valid Uberon and CL relationships. The Spatial Ontology defines the shape, size, location, and rotation of experimental tissue and data major anatomical structures in the 3D Reference Object Library. The Specimen Ontology captures the sex, age, and other information on donors that provided tissue data used in the construction of the HRA.	https://humanatlas.io/ccf-ontology		41	94	9	LOADED
cpont	cpont	Critical Path Ontology	An application ontology for integrating data from the Critical Path Institute's Rare Disease Cures Accelerator Data and Analytica Platform (RDCA-DAP).	https://gitlab.c-path.org/c-pathontology/critical-path-ontology	2024-05-21	9119	126	0	LOADED
lifestylefactors	lifestylefactors	Lifestyle Factors Ontology	In this ontology, we defined nine distinct categories that encompass various aspects of lifestyle factors (LSFs), creating a unified Lifestyle Factors Ontology (LSFO) across these categories. Within the context of lifestyle, we have identified nine categories that can collectively describe all LSFs, namely: 1-Nutrition, a category that covers different branches such as dietary habits, food groups, food processing and preparation, macronutrients, and micronutrients, among others. 2-Socioeconomic factors, which includes social and economic conditions such as income, wealth, education and socioeconomic status. 3-Environmental exposures, includes exposure to various environmental factors, such as air pollution, water quality, and workplace hazards, that can impact an individual’s health. 4-Substance use, covers concepts such as smoking, as well as illicit drug use. 5-Physical activities, includes regular exercise and physically demanding activities like leisure time, occupational, and household physical activities. 6-Non-physical leisure time activities, describes any activity an individual might engage in during their free time that is not a physical activity. 7-Personal care products and cosmetic procedures, covers activities related to hygiene, use of cosmetic and cleaning products as well as invasive procedures that people undergo to improve their appearance, such as cosmetic surgery. 8-Sleep, covers sleep quality, stages, and habits. 9-Mental health practices, includes the behaviors and habits related to maintaining good mental health and emotional well-being such as meditation, and psychotherapy.	https://bioportal.bioontology.org/ontologies/LSFO		5598	25	0	LOADED
credit	credit	Contributor Roles Taxonomy	CRediT (Contributor Roles Taxonomy) is high-level taxonomy, including 14 roles, that can be used to represent the roles typically played by contributors to scientific scholarly output. The roles describe each contributor’s specific contribution to the scholarly output.	https://credit.niso.org/	2022	16	10	1	LOADED
mesh	mesh	Medical Subject Headings	MeSH (Medical Subject Headings) is the National Library of Medicine's controlled vocabulary thesaurus. It consists of sets of terms naming descriptors in a hierarchical structure that permits searching at various levels of specificity. This thesaurus is used by NLM for indexing articles from biomedical journals, cataloguing of books, documents, etc.	https://www.nlm.nih.gov/	2025	355028	8	0	LOADED
hgnc	hgnc	HUGO Gene Nomenclature Committee	The HGNC (HUGO Gene Nomenclature Committee) provides an approved gene name and symbol (short-form abbreviation) for each known human gene.  All approved symbols are stored in the HGNC database, and each symbol is unique. HGNC identifiers refer to records in the HGNC symbol database.	http://www.genenames.org	2025-10-07	118189	32	0	LOADED
wikipathways	wikipathways	WikiPathways	WikiPathways is a database of biological pathways maintained by and for the scientific community.	http://www.wikipathways.org/	20251010	2899	14	31231	LOADED
ror	ror	Research Organization Registry	ROR (Research Organization Registry) is a global, community-led registry\nof open persistent identifiers for research organizations. ROR is jointly\noperated by California Digital Library, Crossref, and Datacite.	https://ror.org	1.36	9	22	122620	LOADED
