card_id	trait_name	mapping_kind	base_category	substrate_label	predicate_positive_id	predicate_positive_label	predicate_negative_id	predicate_negative_label	substrate_chebi_ids	process_curies	matched_process_metpo	status	trait_format	curie_count	usable_external_curies
growth-d-fructose	growth: D-fructose	composed	growth	D-fructose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:15824	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-d-fructose-6-phosphate	growth: D-fructose 6-phosphate	composed	growth	D-fructose 6-phosphate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:78697	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-d-fucose	growth: D-fucose	composed	growth	D-fucose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:28847	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-d-galactonic-acid-lactone	growth: D-galactonic acid lactone	composed	growth	D-galactonic acid lactone	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:15895	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-d-galactose	growth: D-galactose	composed	growth	D-galactose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:12936	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-d-galacturonic-acid	growth: D-galacturonic acid	composed	growth	D-galacturonic acid	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:18024	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-d-gluconate	growth: D-gluconate	composed	growth	D-gluconate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:8391	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-d-glucose	growth: D-glucose	composed	growth	D-glucose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17634	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-d-lyxose	growth: D-lyxose	composed	growth	D-lyxose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:62318	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-d-malate	growth: D-malate	composed	growth	D-malate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:15588	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-d-mannitol	growth: D-mannitol	composed	growth	D-mannitol	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:16899	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-d-mannose	growth: D-mannose	composed	growth	D-mannose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:16024	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-d-rhamnose	growth: D-rhamnose	composed	growth	D-rhamnose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:63150	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-d-ribose	growth: D-ribose	composed	growth	D-ribose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:16988	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-d-sorbitol	growth: D-sorbitol	composed	growth	D-sorbitol	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17924	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-d-trehalose	growth: D-trehalose	composed	growth	D-trehalose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:16551	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-d-xylose	growth: D-xylose	composed	growth	D-xylose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:65327	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-decanoate	growth: decanoate	composed	growth	decanoate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:27689	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-dextran	growth: dextran	composed	growth	dextran	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:52071	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-dextrin	growth: dextrin	composed	growth	dextrin	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:23652	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-dihydrogen	growth: dihydrogen	composed	growth	dihydrogen	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:18276	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-dimethylamine	growth: dimethylamine	composed	growth	dimethylamine	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17170	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-dinitrogen	growth: dinitrogen	composed	growth	dinitrogen	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17997	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-dl-alanine	growth: dl-alanine	composed	growth	dl-alanine	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:16449	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-elemental-sulfur	growth: elemental sulfur	composed	growth	elemental sulfur	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:33403	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-erythritol	growth: erythritol	composed	growth	erythritol	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17113	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-erythrose	growth: erythrose	composed	growth	erythrose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:33946	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-esculin	growth: esculin	composed	growth	esculin	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:4853	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-ethanol	growth: ethanol	composed	growth	ethanol	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:16236	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-ethylbenzene	growth: ethylbenzene	composed	growth	ethylbenzene	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:16101	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-formate	growth: formate	composed	growth	formate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:15740	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-fructose	growth: fructose	composed	growth	fructose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:28757	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-fucose	growth: fucose	composed	growth	fucose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:33984	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-fumarate	growth: fumarate	composed	growth	fumarate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:29806	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
utilizes-galactarate	utilizes: galactarate	composed	utilizes	galactarate	METPO:2000015	uses in other way	METPO:2000041	does not use in other way	CHEBI:16537	GO:0008152		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-galactitol	growth: galactitol	composed	growth	galactitol	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:16813	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-galactose	growth: galactose	composed	growth	galactose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:28260	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-gelatin	growth: gelatin	composed	growth	gelatin	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:5291	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-gellan-gum	growth: gellan gum	composed	growth	gellan gum	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:85248	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-gentiobiose	growth: gentiobiose	composed	growth	gentiobiose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:28066	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-gluconate	growth: gluconate	composed	growth	gluconate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:24265	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-glucose	growth: glucose	composed	growth	glucose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17234	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-glutamate	growth: glutamate	composed	growth	glutamate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:29987	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-glycerol	growth: glycerol	composed	growth	glycerol	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17754	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-glycine	growth: glycine	composed	growth	glycine	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:15428	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-glycine-1	growth: glycine 1%	composed	growth	glycine 1%	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:15428	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-glycogen	growth: glycogen	composed	growth	glycogen	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:28087	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-goethite	growth: goethite	composed	growth	goethite	METPO:2000012	uses for growth	METPO:2000038	does not use for growth		GO:0040007		missing_chebi; missing_process_term	composed_boolean	1	GO
growth-hexanoate	growth: hexanoate	composed	growth	hexanoate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17120	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-hippurate	growth: hippurate	composed	growth	hippurate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:606565	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-histidine	growth: histidine	composed	growth	histidine	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:27570	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-inositol	growth: inositol	composed	growth	inositol	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17268	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-inulin	growth: inulin	composed	growth	inulin	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:15443	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-isobutyrate	growth: isobutyrate	composed	growth	isobutyrate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:48944	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-l-arabinose	growth: L-arabinose	composed	growth	L-arabinose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:30849	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-l-arginine	growth: L-arginine	composed	growth	L-arginine	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:16467	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-l-asparagine	growth: L-asparagine	composed	growth	L-asparagine	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17196	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-l-aspartate	growth: L-aspartate	composed	growth	L-aspartate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:29991	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-l-cysteine	growth: L-cysteine	composed	growth	L-cysteine	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17561	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-l-fucose	growth: L-fucose	composed	growth	L-fucose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:18287	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-l-glutamate	growth: L-glutamate	composed	growth	L-glutamate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:29985	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-l-phenylalanine	growth: L-phenylalanine	composed	growth	L-phenylalanine	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17295	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-l-proline	growth: L-proline	composed	growth	L-proline	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17203	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-l-rhamnose	growth: L-rhamnose	composed	growth	L-rhamnose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:62345	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-l-tartrate	growth: L-tartrate	composed	growth	L-tartrate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:30924	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-lactate	growth: lactate	composed	growth	lactate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:24996	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-lactose	growth: lactose	composed	growth	lactose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17716	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-magnesium-2	growth: magnesium(2+)	composed	growth	magnesium(2+)	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:18420	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-malate	growth: malate	composed	growth	malate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:25115	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-maleic-acid	growth: maleic acid	composed	growth	maleic acid	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:18300	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-malonate	growth: malonate	composed	growth	malonate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:15792	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-maltose	growth: maltose	composed	growth	maltose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17306	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-maltose-hydrate	growth: maltose hydrate	composed	growth	maltose hydrate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth		GO:0040007		missing_chebi; missing_process_term	composed_boolean	1	GO
growth-mannitol	growth: mannitol	composed	growth	mannitol	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:29864	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-42-degrees-celsius	growth: 42 degrees Celsius	composed	growth	42 degrees Celsius	METPO:2000012	uses for growth	METPO:2000038	does not use for growth		GO:0040007; OMP:0005002	METPO:1000613|temperature preference	resolved_nonchebi_with_notes	composed_boolean	2	GO
growth-6-5-nacl	growth: 6.5% NaCl	composed	growth	6.5% NaCl	METPO:2000012	uses for growth	METPO:2000038	does not use for growth		MICRO:0000989		missing_chebi; missing_process_term	composed_boolean	1	
growth-potassium-cyanide	growth: potassium cyanide	composed	growth	potassium cyanide	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:33191	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-macconkey-agar	growth: MacConkey agar	composed	growth	MacConkey agar	METPO:2000012	uses for growth	METPO:2000038	does not use for growth		GO:0040007; SNOMED:409550005		missing_chebi; missing_process_term	composed_boolean	2	GO
growth-blood-agar	growth: blood agar	composed	growth	blood agar	METPO:2000012	uses for growth	METPO:2000038	does not use for growth		GO:0040007; NCIT:C127517		missing_chebi; missing_process_term	composed_boolean	2	GO
growth-mannose	growth: mannose	composed	growth	mannose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:37684	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-melibiose	growth: melibiose	composed	growth	melibiose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:28053	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-meat-extract	growth: meat extract	composed	growth	meat extract	METPO:2000012	uses for growth	METPO:2000038	does not use for growth		GO:0040007		missing_chebi; missing_process_term	composed_boolean	1	GO
growth-melezitose	growth: melezitose	composed	growth	melezitose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:6731	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-methanol	growth: methanol	composed	growth	methanol	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17790	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-methylamine	growth: methylamine	composed	growth	methylamine	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:16830	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-molybdate	growth: molybdate	composed	growth	molybdate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:36264	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-myo-inositol	growth: myo-inositol	composed	growth	myo-inositol	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17268	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-pectin	growth: pectin	composed	growth	pectin	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17309	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-peptone	growth: peptone	composed	growth	peptone	METPO:2000012	uses for growth	METPO:2000038	does not use for growth		GO:0040007		missing_chebi; missing_process_term	composed_boolean	1	GO
growth-polypeptone	growth: polypeptone	composed	growth	polypeptone	METPO:2000012	uses for growth	METPO:2000038	does not use for growth		GO:0040007		missing_chebi; missing_process_term	composed_boolean	1	GO
growth-propionate	growth: propionate	composed	growth	propionate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17272	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-proteose	growth: proteose	composed	growth	proteose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth		GO:0040007		missing_chebi; missing_process_term	composed_boolean	1	GO
growth-pyruvate	growth: pyruvate	composed	growth	pyruvate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:15361	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-raffinose	growth: raffinose	composed	growth	raffinose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:16634	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-ribose	growth: ribose	composed	growth	ribose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:33942	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-salicin	growth: salicin	composed	growth	salicin	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17814	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-sodium-acetate	growth: sodium acetate	composed	growth	sodium acetate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:32954	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-sodium-chloride	growth: sodium chloride	composed	growth	sodium chloride	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:26710	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-sorbitol	growth: sorbitol	composed	growth	sorbitol	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:30911	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-soyton	growth: soyton	composed	growth	soyton	METPO:2000012	uses for growth	METPO:2000038	does not use for growth		GO:0040007		missing_chebi; missing_process_term	composed_boolean	1	GO
growth-starch	growth: starch	composed	growth	starch	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:28017	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-succinate	growth: succinate	composed	growth	succinate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:30031	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-sucrose	growth: sucrose	composed	growth	sucrose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17992	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-sulfate	growth: sulfate	composed	growth	sulfate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:16189	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-sulfite	growth: sulfite	composed	growth	sulfite	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:17359	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-tartrate	growth: tartrate	composed	growth	tartrate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:132950	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-tetrathionate	growth: tetrathionate	composed	growth	tetrathionate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:15226	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-thiosulfate	growth: thiosulfate	composed	growth	thiosulfate	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:16094	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-trehalose	growth: trehalose	composed	growth	trehalose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:27082	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-trimethylamine	growth: trimethylamine	composed	growth	trimethylamine	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:18139	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-tryptone	growth: tryptone	composed	growth	tryptone	METPO:2000012	uses for growth	METPO:2000038	does not use for growth		GO:0040007		missing_chebi; missing_process_term	composed_boolean	1	GO
growth-xylose	growth: xylose	composed	growth	xylose	METPO:2000012	uses for growth	METPO:2000038	does not use for growth	CHEBI:18222	GO:0040007		resolved_with_notes	composed_boolean	2	CHEBI; GO
growth-yeast-extract	growth: yeast extract	composed	growth	yeast extract	METPO:2000012	uses for growth	METPO:2000038	does not use for growth		GO:0040007		missing_chebi; missing_process_term	composed_boolean	1	GO
growth-yeast-extract-0-01-w-v	growth: yeast extract (0.01 %, w/v)	composed	growth	yeast extract (0.01 %, w/v)	METPO:2000012	uses for growth	METPO:2000038	does not use for growth		GO:0040007		missing_chebi; missing_process_term	composed_boolean	1	GO
hydrolysis-1-3-beta-d-glucan	hydrolysis: 1,3-beta-d-glucan	composed	hydrolysis	1,3-beta-d-glucan	METPO:2000013	hydrolyzes	METPO:2000039	does not hydrolyze	CHEBI:37671	GO:0016787		resolved_with_notes	composed_boolean	2	CHEBI; GO
hydrolysis-1h-indol-3-ylacetic-acid	hydrolysis: 1h-indol-3-ylacetic acid	composed	hydrolysis	1h-indol-3-ylacetic acid	METPO:2000013	hydrolyzes	METPO:2000039	does not hydrolyze	CHEBI:16411	GO:0016787		resolved_with_notes	composed_boolean	2	CHEBI; GO
hydrolysis-2-dehydro-d-gluconate	hydrolysis: 2-dehydro-D-gluconate	composed	hydrolysis	2-dehydro-D-gluconate	METPO:2000013	hydrolyzes	METPO:2000039	does not hydrolyze	CHEBI:16808	GO:0016787		resolved_with_notes	composed_boolean	2	CHEBI; GO
hydrolysis-2-deoxythymidine-5-4-nitrophenyl-phosphate	hydrolysis: 2-deoxythymidine-5&#39;-4-nitrophenyl phosphate	composed	hydrolysis	2-deoxythymidine-5&#39;-4-nitrophenyl phosphate	METPO:2000013	hydrolyzes	METPO:2000039	does not hydrolyze		GO:0016787		missing_chebi; missing_process_term	composed_boolean	1	GO
hydrolysis-2-naphthyl-dihydrogen-phosphate	hydrolysis: 2-naphthyl dihydrogen phosphate	composed	hydrolysis	2-naphthyl dihydrogen phosphate	METPO:2000013	hydrolyzes	METPO:2000039	does not hydrolyze	CHEBI:91043	GO:0016787		resolved_with_notes	composed_boolean	2	CHEBI; GO
hydrolysis-2-naphthyl-tetradecanoate	hydrolysis: 2-naphthyl tetradecanoate	composed	hydrolysis	2-naphthyl tetradecanoate	METPO:2000013	hydrolyzes	METPO:2000039	does not hydrolyze	CHEBI:90249	GO:0016787		resolved_with_notes	composed_boolean	2	CHEBI; GO
hydrolysis-4-methylumbelliferone-beta-d-glucuronide	hydrolysis: 4-methylumbelliferone beta-d-glucuronide	composed	hydrolysis	4-methylumbelliferone beta-d-glucuronide	METPO:2000013	hydrolyzes	METPO:2000039	does not hydrolyze	CHEBI:1904	GO:0016787		resolved_with_notes	composed_boolean	2	CHEBI; GO
hydrolysis-4-nitrophenyl-6-o-phosphono-beta-d-galactoside	hydrolysis: 4-nitrophenyl 6-O-phosphono-beta-D-galactoside	composed	hydrolysis	4-nitrophenyl 6-O-phosphono-beta-D-galactoside	METPO:2000013	hydrolyzes	METPO:2000039	does not hydrolyze	CHEBI:90128	GO:0016787		resolved_with_notes	composed_boolean	2	CHEBI; GO
hydrolysis-4-nitrophenyl-alpha-d-galactoside	hydrolysis: 4-nitrophenyl alpha-D-galactoside	composed	hydrolysis	4-nitrophenyl alpha-D-galactoside	METPO:2000013	hydrolyzes	METPO:2000039	does not hydrolyze	CHEBI:546840	GO:0016787		resolved_with_notes	composed_boolean	2	CHEBI; GO
hydrolysis-4-nitrophenyl-alpha-d-glucopyranoside	hydrolysis: 4-nitrophenyl alpha-D-glucopyranoside	composed	hydrolysis	4-nitrophenyl alpha-D-glucopyranoside	METPO:2000013	hydrolyzes	METPO:2000039	does not hydrolyze	CHEBI:91122	GO:0016787		resolved_with_notes	composed_boolean	2	CHEBI; GO
hydrolysis-4-nitrophenyl-alpha-l-fucoside	hydrolysis: 4-nitrophenyl alpha-L-fucoside	composed	hydrolysis	4-nitrophenyl alpha-L-fucoside	METPO:2000013	hydrolyzes	METPO:2000039	does not hydrolyze	CHEBI:90253	GO:0016787		resolved_with_notes	composed_boolean	2	CHEBI; GO
hydrolysis-4-nitrophenyl-beta-d-galactopyranoside	hydrolysis: 4-nitrophenyl beta-D-galactopyranoside	composed	hydrolysis	4-nitrophenyl beta-D-galactopyranoside	METPO:2000013	hydrolyzes	METPO:2000039	does not hydrolyze	CHEBI:355715	GO:0016787		resolved_with_notes	composed_boolean	2	CHEBI; GO
hydrolysis-4-nitrophenyl-beta-d-galactopyranoside-hydrolysate	hydrolysis: 4-nitrophenyl beta-D-galactopyranoside hydrolysate	composed	hydrolysis	4-nitrophenyl beta-D-galactopyranoside hydrolysate	METPO:2000013	hydrolyzes	METPO:2000039	does not hydrolyze		GO:0016787		missing_chebi; missing_process_term	composed_boolean	1	GO
hydrolysis-4-nitrophenyl-beta-d-glucopyranoside	hydrolysis: 4-nitrophenyl beta-D-glucopyranoside	composed	hydrolysis	4-nitrophenyl beta-D-glucopyranoside	METPO:2000013	hydrolyzes	METPO:2000039	does not hydrolyze	CHEBI:90259	GO:0016787		resolved_with_notes	composed_boolean	2	CHEBI; GO
