card_id	name	type	ontology_curies	ontology_urls	description
degradation-arabinogalactan	degradation: arabinogalactan	boolean	GO:0009056; CHEBI:27569	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27569	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-arbutin	degradation: arbutin	boolean	GO:0009056; CHEBI:18305	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18305	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-aromatic-hydrocarbon	degradation: aromatic hydrocarbon	boolean	SNOMED:34862004; GO:0019439	https://www.ebi.ac.uk/ols/ontologies/snomed/terms?obo_id=SNOMED%3A34862004; https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0019439	Aromatic hydrocarbon
degradation-aromatic-compound	degradation: aromatic compound	boolean	GO:0019439	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0019439	The chemical reactions and pathways resulting in the breakdown of aromatic compounds, any substance containing an aromatic carbon ring.
degradation-arginine	degradation: arginine	boolean	GO:0009056; CHEBI:29016	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29016	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-asparagine	degradation: asparagine	boolean	GO:0009056; CHEBI:22653	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:22653	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-aspartate	degradation: aspartate	boolean	GO:0009056; CHEBI:35391	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35391	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-benzene	degradation: benzene	boolean	GO:0009056; CHEBI:16716	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16716	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-benzoate	degradation: benzoate	boolean	GO:0009056; CHEBI:16150	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16150	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-beta-lactose	degradation: beta-lactose	boolean	GO:0009056; CHEBI:36218	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:36218	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-carboxymethylcellulose	degradation: carboxymethylcellulose	boolean	GO:0009056; CHEBI:85146	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:85146	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-carminate	degradation: carminate	boolean	GO:0009056; CHEBI:149531	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:149531	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-carrageenan	degradation: carrageenan	boolean	GO:0009056; CHEBI:3435	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:3435	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-casein	degradation: casein	boolean	GO:0009056	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-cellobiose	degradation: cellobiose	boolean	GO:0009056; CHEBI:17057	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17057	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-cellulose	degradation: cellulose	boolean	GO:0009056; CHEBI:62968	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:62968	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-chitin	degradation: chitin	boolean	GO:0009056; CHEBI:17029	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17029	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-chitosan	degradation: chitosan	boolean	GO:0009056; CHEBI:16261	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16261	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-citrate	degradation: citrate	boolean	GO:0009056; CHEBI:16947	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16947	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-collagen	degradation: collagen	boolean	GO:0009056; CHEBI:3815	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:3815	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-crystalline-cellulose	degradation: crystalline cellulose	boolean	GO:0009056	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-cysteine	degradation: cysteine	boolean	GO:0009056; CHEBI:15356	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15356	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-d-arabinose	degradation: D-arabinose	boolean	GO:0009056; CHEBI:17108	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17108	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-d-fructose	degradation: D-fructose	boolean	GO:0009056; CHEBI:15824	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15824	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-d-glucose	degradation: D-glucose	boolean	GO:0009056; CHEBI:17634	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17634	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-d-mannose	degradation: D-mannose	boolean	GO:0009056; CHEBI:16024	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16024	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-d-xylose	degradation: D-xylose	boolean	GO:0009056; CHEBI:65327	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65327	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-dna	degradation: dna	boolean	GO:0009056; CHEBI:16991	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16991	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-egg-yolk	degradation: egg yolk	boolean	GO:0009056	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-elastin	degradation: elastin	boolean	GO:0009056; CHEBI:4767	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:4767	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-esculin	degradation: esculin	boolean	GO:0009056; CHEBI:4853	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:4853	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-fibrin	degradation: fibrin	boolean	GO:0009056; CHEBI:5054	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:5054	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-gelatin	degradation: gelatin	boolean	GO:0009056; CHEBI:5291	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:5291	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-glucomannan	degradation: glucomannan	boolean	GO:0009056; CHEBI:17020	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17020	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-glucose	degradation: glucose	boolean	GO:0009056; CHEBI:17234	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17234	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-glycine	degradation: glycine	boolean	GO:0009056; CHEBI:15428	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15428	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-glycogen	degradation: glycogen	boolean	GO:0009056; CHEBI:28087	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28087	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-hydrocarbon	degradation: hydrocarbon	boolean	GO:0120253	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0120253	The chemical reactions and pathways resulting in the breakdown of a hydrocarbon, a compound consisting of carbon and hydrogen only.
degradation-histidine	degradation: histidine	boolean	GO:0009056; CHEBI:27570	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27570	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-hydroxyethylcellulose	degradation: hydroxyethylcellulose	boolean	GO:0009056; CHEBI:85249	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:85249	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-hypoxanthine	degradation: hypoxanthine	boolean	GO:0009056; CHEBI:17368	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17368	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-inulin	degradation: inulin	boolean	GO:0009056; CHEBI:15443	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15443	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-isoleucine	degradation: isoleucine	boolean	GO:0009056; CHEBI:24898	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:24898	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-isoorientin	degradation: isoorientin	boolean	GO:0009056; CHEBI:17965	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17965	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-isovitexin	degradation: isovitexin	boolean	GO:0009056; CHEBI:18330	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18330	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-l-glutamate	degradation: L-glutamate	boolean	GO:0009056; CHEBI:29985	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29985	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-l-tyrosine	degradation: L-tyrosine	boolean	GO:0009056; CHEBI:17895	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17895	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-lactose	degradation: lactose	boolean	GO:0009056; CHEBI:17716	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17716	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-laminarin	degradation: laminarin	boolean	GO:0009056; CHEBI:6364	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:6364	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-lignin	degradation: lignin	boolean	GO:0046274	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0046274	The chemical reactions and pathways resulting in the breakdown of lignins, a class of polymers of phenylpropanoid units.
degradation-lysine	degradation: lysine	boolean	GO:0009056; CHEBI:25094	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:25094	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-maltose	degradation: maltose	boolean	GO:0009056; CHEBI:17306	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17306	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-milk	degradation: milk	boolean	GO:0009056	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-ornithine	degradation: ornithine	boolean	GO:0009056; CHEBI:18257	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18257	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-phenol	degradation: phenol	boolean	GO:0009056; CHEBI:15882	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15882	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-plastic	degradation: plastic	boolean	ENVO:06105015	https://www.ebi.ac.uk/ols/ontologies/envo/terms?obo_id=ENVO%3A06105015	A biodegradation process during which plastic is broken down.
degradation-phenylalanine	degradation: phenylalanine	boolean	GO:0009056; CHEBI:28044	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28044	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-salicin	degradation: salicin	boolean	GO:0009056; CHEBI:17814	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17814	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-skimmed-milk	degradation: skimmed milk	boolean	GO:0009056	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-starch	degradation: starch	boolean	GO:0009056; CHEBI:28017	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28017	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-sucrose	degradation: sucrose	boolean	GO:0009056; CHEBI:17992	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17992	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-tween-20	degradation: tween 20	boolean	GO:0009056; CHEBI:53424	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:53424	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-tween-40	degradation: tween 40	boolean	GO:0009056; CHEBI:53423	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:53423	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-tween-60	degradation: tween 60	boolean	GO:0009056; CHEBI:53425	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:53425	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-tyrosine	degradation: tyrosine	boolean	GO:0009056; CHEBI:18186	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18186	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
degradation-xylan	degradation: xylan	boolean	GO:0009056; CHEBI:37166	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009056; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:37166	A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.
electron-acceptor-1-2-butandiol	electron acceptor: 1,2-butandiol	boolean	CHEBI:17654; CHEBI:52682	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A17654; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:52682	A substance to which an electron may be transferred.
electron-acceptor-acetate	electron acceptor: acetate	boolean	CHEBI:17654; CHEBI:30089	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A17654; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30089	A substance to which an electron may be transferred.
electron-acceptor-alanine	electron acceptor: alanine	boolean	CHEBI:17654; CHEBI:16449	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A17654; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16449	A substance to which an electron may be transferred.
electron-acceptor-amorphous-fe-iii-oxyhydroxid	electron acceptor: amorphous fe(iii) oxyhydroxid	boolean	CHEBI:17654	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A17654	A substance to which an electron may be transferred.
electron-acceptor-amorphous-iron-iii-oxide	electron acceptor: amorphous iron (iii) oxide	boolean	CHEBI:17654	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A17654	A substance to which an electron may be transferred.
electron-acceptor-anthraquinone-2-6-disulfonic-acid	electron acceptor: anthraquinone-2,6-disulfonic acid	boolean	CHEBI:17654; CHEBI:85115	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A17654; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:85115	A substance to which an electron may be transferred.
electron-acceptor-antimonate	electron acceptor: antimonate	boolean	CHEBI:17654; CHEBI:30295	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A17654; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30295	A substance to which an electron may be transferred.
electron-acceptor-arabinose	electron acceptor: arabinose	boolean	CHEBI:17654; CHEBI:22599	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A17654; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:22599	A substance to which an electron may be transferred.
electron-acceptor-arginine	electron acceptor: arginine	boolean	CHEBI:17654; CHEBI:29016	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A17654; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29016	A substance to which an electron may be transferred.
electron-acceptor-arsenate	electron acceptor: arsenate	boolean	CHEBI:17654; CHEBI:29125	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A17654; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29125	A substance to which an electron may be transferred.
electron-acceptor-asparagine	electron acceptor: asparagine	boolean	CHEBI:17654; CHEBI:22653	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A17654; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:22653	A substance to which an electron may be transferred.
electron-acceptor-aspartate	electron acceptor: aspartate	boolean	CHEBI:17654; CHEBI:35391	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A17654; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35391	A substance to which an electron may be transferred.
electron-acceptor-benzoate	electron acceptor: benzoate	boolean	CHEBI:17654; CHEBI:16150	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A17654; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16150	A substance to which an electron may be transferred.
electron-acceptor-betaine	electron acceptor: betaine	boolean	CHEBI:17654; CHEBI:17750	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A17654; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17750	A substance to which an electron may be transferred.
electron-acceptor-butyrate	electron acceptor: butyrate	boolean	CHEBI:17654; CHEBI:17968	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A17654; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17968	A substance to which an electron may be transferred.
electron-acceptor-cellobiose	electron acceptor: cellobiose	boolean	CHEBI:17654; CHEBI:17057	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A17654; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17057	A substance to which an electron may be transferred.
electron-acceptor-choline	electron acceptor: choline	boolean	CHEBI:17654; CHEBI:15354	https://www.ebi.ac.uk/ols/ontologies/chebi/terms?obo_id=CHEBI%3A17654; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15354	A substance to which an electron may be transferred.
